controller,profile,seed,arrived,unfinished,mean_wait_s,mean_travel_s,mean_timeloss_s,total_co2_kg,mean_queue
fixed,offpeak,0,870,10,36.55057471264368,72.46436781609195,43.14193103448274,120.27071154000008,8.745833333333334
fixed,offpeak,1,870,10,36.55632183908046,72.25632183908046,43.17414942528739,120.34330866000005,8.734722222222222
fixed,offpeak,2,870,10,35.751724137931035,71.67241379310344,42.25649425287351,118.96984818000006,8.536111111111111
fixed,offpeak,3,870,10,36.280459770114945,71.96436781609195,42.92770114942531,120.22941473000003,8.6625
fixed,offpeak,4,870,10,36.82298850574713,72.41264367816092,43.44802298850572,120.72049464999996,8.797222222222222
fixed,rush_ns,0,1496,24,39.523395721925134,76.8683155080214,47.58824197860955,219.19015789999995,15.919444444444444
fixed,rush_ns,1,1496,24,39.67513368983957,76.8475935828877,47.80463903743323,220.12718464999983,16.004166666666666
fixed,rush_ns,2,1495,25,39.131772575250835,76.50033444816053,47.10595986622075,217.77332905999978,15.790277777777778
fixed,rush_ns,3,1495,25,39.639464882943145,76.69297658862877,47.69402006688949,219.71469199999984,15.981944444444444
fixed,rush_ns,4,1495,25,39.24147157190635,76.34314381270903,47.246555183946484,218.3653801000005,15.813888888888888
fixed,variable,0,1211,8,37.41701073492981,74.00165152766309,44.73338563170933,171.06533494000024,12.206944444444444
fixed,variable,1,1211,8,37.82163501238646,74.2411230388109,45.13144508670519,171.93787985999978,12.354166666666666
fixed,variable,2,1211,8,37.524360033030554,74.19405450041288,44.815152766308906,171.3520153000002,12.26388888888889
fixed,variable,3,1211,8,37.59537572254335,73.89512799339388,44.890181668042956,171.8355528800001,12.254166666666666
fixed,variable,4,1211,8,37.933938893476466,74.23121387283237,45.192815854665604,172.29286379999996,12.386111111111111
actuated,offpeak,0,874,6,7.782608695652174,43.0629290617849,13.747745995423365,81.49496096999994,1.9347222222222222
actuated,offpeak,1,875,5,7.777142857142858,42.78857142857143,13.693622857142861,81.53315775999994,1.9083333333333334
actuated,offpeak,2,874,6,7.773455377574371,43.12929061784897,13.717848970251708,81.23880154999999,1.8902777777777777
actuated,offpeak,3,874,6,7.772311212814645,42.71967963386728,13.703501144164756,81.33331138000001,1.9
actuated,offpeak,4,876,4,7.799086757990867,42.74771689497717,13.772271689497716,81.74176896000007,1.8875
actuated,rush_ns,0,1509,11,9.082173624917164,45.01457919151756,15.730231941683243,147.01890599000018,3.7819444444444446
actuated,rush_ns,1,1506,14,9.220451527224435,44.89907038512616,15.849794156706505,147.17949625000023,3.790277777777778
actuated,rush_ns,2,1509,11,9.351888667992048,45.42942345924453,16.048634857521517,147.65024768999993,3.863888888888889
actuated,rush_ns,3,1506,14,9.158698539176626,44.843293492695885,15.82288844621516,147.3447357299998,3.761111111111111
actuated,rush_ns,4,1503,17,9.251497005988025,44.93679308050566,15.852202262142384,146.8681218999999,3.790277777777778
actuated,variable,0,1213,6,8.431986809563067,43.98351195383347,14.732539159109649,115.65211429999998,2.7958333333333334
actuated,variable,1,1213,6,8.467436108821104,43.99422918384172,14.889464138499566,116.33745915000002,2.826388888888889
actuated,variable,2,1213,6,8.586150041220115,44.295136026380874,14.91709810387471,116.14470878000006,2.8319444444444444
actuated,variable,3,1213,6,8.527617477328937,43.89859851607584,14.89572959604286,116.30809093,2.8055555555555554
actuated,variable,4,1213,6,8.488046166529266,43.884583676834296,14.827262984336349,116.19147270000003,2.816666666666667
maxpressure,offpeak,0,876,4,3.401826484018265,37.68949771689498,8.400684931506849,72.10137576,0.6736111111111112
maxpressure,offpeak,1,876,4,3.3025114155251143,37.37100456621005,8.306621004566209,71.92489310000003,0.6652777777777777
maxpressure,offpeak,2,876,4,3.2648401826484017,37.657534246575345,8.26186073059361,71.85495142999994,0.6625
maxpressure,offpeak,3,876,4,3.2853881278538815,37.19178082191781,8.188413242009128,71.78170442999995,0.6625
maxpressure,offpeak,4,876,4,3.1940639269406392,36.97374429223744,8.050536529680372,71.72941274999992,0.6416666666666667
maxpressure,rush_ns,0,1508,12,4.2407161803713525,39.3342175066313,10.052102122015901,131.57023126999997,1.3777777777777778
maxpressure,rush_ns,1,1509,11,4.23923127899271,39.07090788601723,10.03520874751491,131.49755280999995,1.35
maxpressure,rush_ns,2,1510,10,4.102649006622516,39.201324503311255,9.835649006622514,130.43914172000018,1.3277777777777777
maxpressure,rush_ns,3,1511,9,4.28325612177366,39.11780277961615,10.112190602250163,131.84697997999982,1.386111111111111
maxpressure,rush_ns,4,1509,11,4.229290921139827,39.12591119946985,10.023770709078864,131.49656316,1.3444444444444446
maxpressure,variable,0,1213,6,3.5803792250618303,37.97032151690025,8.704056059356978,100.95691531,0.9916666666666667
maxpressure,variable,1,1213,6,3.4476504534212697,37.5358615004122,8.44167353668591,99.94508832000004,0.9013888888888889
maxpressure,variable,2,1213,6,3.5061830173124484,37.880461665292664,8.52497114591921,100.07308985000007,0.95
maxpressure,variable,3,1213,6,3.637262984336356,37.78895300906843,8.793792250618298,101.18574174000008,0.9888888888888889
maxpressure,variable,4,1213,6,3.4056059356966197,37.486397361912616,8.443429513602641,99.94015287000012,0.9069444444444444
